,index,year,day,date,oTime,pTime,sTime,spTime,distance,quality,type,oTimeUTC,endTime,max_of_dur_cont
94,98,2013,301,2013-10-28,20:21:52.701,20:23:18.408,20:24:21.978,63.57,654.5387,B,R,2013-10-28T20:21:52.701000Z,2013-10-28T20:23:21.396000Z,0 days 00:01:30
95,99,2013,298,2013-10-25,22:31:24.055,22:31:31.028,22:31:36.200,5.172,40.3857,A,L,2013-10-25T22:31:24.055000Z,2013-10-25T22:32:01.810000Z,0 days 00:01:30
96,100,2013,296,2013-10-23,18:36:24.782,18:37:14.852,18:37:51.993,37.141,340.59807,A,R,2013-10-23T18:36:24.782000Z,2013-10-23T18:37:15.680000Z,0 days 00:01:30
97,101,2013,294,2013-10-21,19:37:06.583,19:37:47.624,19:38:18.065,30.441,270.46788,B,R,2013-10-21T19:37:06.583000Z,2013-10-21T19:40:42.960000Z,0 days 00:03:36.377000
98,102,2013,291,2013-10-18,15:08:26.332,15:09:15.101,15:09:51.274,36.173,330.22946,B,R,2013-10-18T15:08:26.332000Z,2013-10-18T15:10:51.230000Z,0 days 00:02:24.898000
99,103,2013,291,2013-10-18,11:05:19.387,11:05:39.500,11:05:54.418,14.918,122.68126,B,R,2013-10-18T11:05:19.387000Z,2013-10-18T11:06:06.334000Z,0 days 00:01:30
100,104,2013,285,2013-10-12,13:11:48.694,13:13:31.700,13:14:48.102,76.402,828.42117,A,R,2013-10-12T13:11:48.694000Z,2013-10-12T13:20:02.993000Z,0 days 00:08:14.299000
101,105,2013,282,2013-10-09,17:22:46.335,17:23:31.500,17:24:5.000,33.5,302.01255,B,R,2013-10-09T17:22:46.335000Z,2013-10-09T17:24:52.830000Z,0 days 00:02:06.495000
102,106,2013,259,2013-09-16,15:01:22.196,15:03:1.872,15:04:15.804,73.932,793.85987,B,R,2013-09-16T15:01:22.196000Z,2013-09-16T15:08:25.323000Z,0 days 00:07:03.127000
103,107,2013,253,2013-09-10,08:34:37.347,08:34:54.200,08:35:6.700,12.5,101.50875,C,L,2013-09-10T08:34:37.347000Z,2013-09-10T08:35:43.146000Z,0 days 00:01:30
104,108,2013,252,2013-09-09,17:35:16.831,17:36:37.354,17:37:37.072,59.723,605.13294,A,R,2013-09-09T17:35:16.831000Z,2013-09-09T17:42:02.479000Z,0 days 00:06:45.648000
105,109,2013,252,2013-09-09,11:18:58.863,11:20:12.914,11:21:7.839,54.926,545.30524,A,R,2013-09-09T11:18:58.863000Z,2013-09-09T11:21:42.948000Z,0 days 00:02:44.085000
106,110,2013,238,2013-08-26,03:52:14.887,03:52:31.243,03:52:43.374,12.131,98.32152,A,L,2013-08-26T03:52:14.887000Z,2013-08-26T03:52:54.293000Z,0 days 00:01:30
107,111,2013,238,2013-08-26,03:45:26.790,03:45:45.800,03:45:59.900,14.1,115.46293,A,L,2013-08-26T03:45:26.790000Z,2013-08-26T03:46:26.989000Z,0 days 00:01:30
108,112,2013,236,2013-08-24,17:18:17.473,17:18:37.200,17:18:51.832,14.632,120.15101,A,R,2013-08-24T17:18:17.473000Z,2013-08-24T17:19:14.272000Z,0 days 00:01:30
109,113,2013,227,2013-08-15,23:06:51.324,23:07:29.074,23:07:57.074,28.0,245.868,A,R,2013-08-15T23:06:51.324000Z,2013-08-15T23:08:19.250000Z,0 days 00:01:30
110,114,2013,227,2013-08-15,23:04:57.074,23:05:36.236,23:06:5.283,29.047,256.35727,A,R,2013-08-15T23:04:57.074000Z,2013-08-15T23:08:37.836000Z,0 days 00:03:40.762000
111,115,2013,221,2013-08-09,13:10:08.677,13:11:51.699,13:13:8.113,76.414,828.59035,B,R,2013-08-09T13:10:08.677000Z,2013-08-09T13:16:42.977000Z,0 days 00:06:34.300000
112,116,2013,221,2013-08-09,11:49:28.278,11:51:9.005,11:52:23.717,74.712,804.71781,B,R,2013-08-09T11:49:28.278000Z,2013-08-09T11:56:07.272000Z,0 days 00:06:38.994000
113,117,2013,221,2013-08-09,04:19:27.038,04:20:53.005,04:21:56.769,63.764,657.0591,C,R,2013-08-09T04:19:27.038000Z,2013-08-09T04:25:33.033000Z,0 days 00:06:05.995000
114,118,2013,219,2013-08-07,13:44:45.987,13:46:20.502,13:47:30.606,70.104,741.32389,C,R,2013-08-07T13:44:45.987000Z,2013-08-07T13:51:20.484000Z,0 days 00:06:34.497000
115,119,2013,219,2013-08-07,09:06:51.220,09:08:35.548,09:09:52.931,77.383,842.29196,B,R,2013-08-07T09:06:51.220000Z,2013-08-07T09:13:34.671000Z,0 days 00:06:43.451000
116,120,2013,219,2013-08-07,01:14:51.389,01:15:5.400,01:15:15.792,10.392,83.4571,B,L,2013-08-07T01:14:51.389000Z,2013-08-07T01:15:26.339000Z,0 days 00:01:30
117,121,2013,213,2013-08-01,22:44:55.563,22:45:1.900,22:45:6.600,4.7,36.60557,A,L,2013-08-01T22:44:55.563000Z,2013-08-01T22:45:21.163000Z,0 days 00:01:30
118,122,2013,209,2013-07-28,11:42:53.068,11:43:11.000,11:43:24.300,13.3,108.45857,B,L,2013-07-28T11:42:53.068000Z,2013-07-28T11:43:32.068000Z,0 days 00:01:30
119,123,2013,208,2013-07-27,20:07:45.402,20:07:51.700,20:07:56.371,4.671,36.37394,A,L,2013-07-27T20:07:45.402000Z,2013-07-27T20:08:11.259000Z,0 days 00:01:30
